elapsed_s,TSE_CLIP_VP_FMUL_0_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_1_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_2_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_3_WORKING_CYCLE_L3
0.707807,0,0,0,0
0.709329,0,0,0,0
0.710728,0,0,0,0
0.712101,0,0,0,0
0.713446,0,0,0,0
0.714841,0,0,0,0
0.716181,0,0,0,0
0.717521,0,0,0,0
0.718859,0,0,0,0
0.720197,0,0,0,0
0.721669,0,0,0,0
0.723246,0,0,0,0
0.724792,0,0,0,0
0.726212,0,0,0,0
0.727732,0,0,0,0
0.729283,0,0,0,0
0.730833,0,0,0,0
0.732380,0,0,0,0
0.733943,0,0,0,0
0.735493,0,0,0,0
0.737084,0,0,0,0
0.738634,0,0,0,0
0.740181,0,0,0,0
0.741732,0,0,0,0
0.743281,0,0,0,0
0.744716,0,0,0,0
0.746238,0,0,0,0
0.747789,0,0,0,0
0.749340,0,0,0,0
0.750890,0,0,0,0
0.752437,0,0,0,0
0.753987,0,0,0,0
0.755424,0,0,0,0
0.756943,0,0,0,0
0.758507,0,0,0,0
0.760026,0,0,0,0
0.761430,0,0,0,0
0.762820,0,0,0,0
0.764206,0,0,0,0
