elapsed_s,RB_STARVE_CYCLES_CCU,RB_STARVE_CYCLES_Z_PLANE,RB_STARVE_CYCLES_BARY_PLANE,RB_Z_WORKLOAD,RB_HLSQ_ACTIVE,RB_Z_READ,RB_Z_WRITE,RB_C_READ
0.822748,0,0,0,0,0,0,0,0
0.824332,0,0,0,0,0,0,0,0
0.825907,0,0,0,0,0,0,0,0
0.827477,0,0,0,0,0,0,0,0
0.829092,0,0,0,0,0,0,0,0
0.830663,0,0,0,0,0,0,0,0
0.832233,0,0,0,0,0,0,0,0
0.833888,0,0,0,0,0,0,0,0
0.835471,0,0,0,0,0,0,0,0
0.837044,0,0,0,0,0,0,0,0
0.838615,0,0,0,0,0,0,0,0
0.840184,0,0,0,0,0,0,0,0
0.841806,0,0,0,0,0,0,0,0
0.843376,0,0,0,0,0,0,0,0
0.844948,0,0,0,0,0,0,0,0
0.846955,0,0,0,0,0,0,0,0
0.848528,0,0,0,0,0,0,0,0
0.850122,0,0,0,0,0,0,0,0
0.851693,0,0,0,0,0,0,0,0
0.853267,0,0,0,0,0,0,0,0
0.854841,0,0,0,0,0,0,0,0
0.856412,0,0,0,0,0,0,0,0
0.858001,0,0,0,0,0,0,0,0
0.859574,0,0,0,0,0,0,0,0
0.861190,0,0,0,0,0,0,0,0
0.862764,0,0,0,0,0,0,0,0
0.864331,0,0,0,0,0,0,0,0
0.865905,0,0,0,0,0,0,0,0
0.867475,0,0,0,0,0,0,0,0
0.869063,0,0,0,0,0,0,0,0
0.870635,0,0,0,0,0,0,0,0
0.872206,0,0,0,0,0,0,0,0
0.873739,0,0,0,0,0,0,0,0
0.875281,0,0,0,0,0,0,0,0
0.876854,0,0,0,0,0,0,0,0
0.878472,0,0,0,0,0,0,0,0
0.880057,0,0,0,0,0,0,0,0
0.881630,0,0,0,0,0,0,0,0
0.883203,0,0,0,0,0,0,0,0
0.884776,0,0,0,0,0,0,0,0
0.886347,0,0,0,0,0,0,0,0
0.887916,0,0,0,0,0,0,0,0
0.889400,0,0,0,0,0,0,0,0
0.890836,0,0,0,0,0,0,0,0
0.892376,0,0,0,0,0,0,0,0
0.893977,0,0,0,0,0,0,0,0
0.895547,0,0,0,0,0,0,0,0
0.897124,0,0,0,0,0,0,0,0
0.898698,0,0,0,0,0,0,0,0
0.900271,0,0,0,0,0,0,0,0
0.901862,0,0,0,0,0,0,0,0
0.903436,0,0,0,0,0,0,0,0
0.905010,0,0,0,0,0,0,0,0
0.906584,0,0,0,0,0,0,0,0
0.908155,0,0,0,0,0,0,0,0
0.909772,0,0,0,0,0,0,0,0
0.911347,0,0,0,0,0,0,0,0
0.912935,0,0,0,0,0,0,0,0
0.914509,0,0,0,0,0,0,0,0
0.916082,0,0,0,0,0,0,0,0
0.917655,0,0,0,0,0,0,0,0
0.919230,0,0,0,0,0,0,0,0
0.920806,0,0,0,0,0,0,0,0
0.922380,0,0,0,0,0,0,0,0
0.923964,0,0,0,0,0,0,0,0
0.925582,0,0,0,0,0,0,0,0
0.927156,0,0,0,0,0,0,0,0
0.928731,0,0,0,0,0,0,0,0
0.930305,0,0,0,0,0,0,0,0
0.931878,0,0,0,0,0,0,0,0
0.933451,0,0,0,0,0,0,0,0
0.934913,0,0,0,0,0,0,0,0
0.936458,0,0,0,0,0,0,0,0
0.938037,0,0,0,0,0,0,0,0
0.939611,0,0,0,0,0,0,0,0
0.941231,0,0,0,0,0,0,0,0
0.942805,0,0,0,0,0,0,0,0
0.944378,0,0,0,0,0,0,0,0
0.945929,0,0,0,0,0,0,0,0
0.947345,0,0,0,0,0,0,0,0
0.948886,0,0,0,0,0,0,0,0
0.950462,0,0,0,0,0,0,0,0
0.952035,0,0,0,0,0,0,0,0
0.953610,0,0,0,0,0,0,0,0
0.955185,0,0,0,0,0,0,0,0
0.956775,0,0,0,0,0,0,0,0
0.958351,0,0,0,0,0,0,0,0
0.959925,0,0,0,0,0,0,0,0
0.961500,0,0,0,0,0,0,0,0
0.963075,0,0,0,0,0,0,0,0
0.964651,0,0,0,0,0,0,0,0
0.966933,0,0,0,0,0,0,0,0
0.968521,0,0,0,0,0,0,0,0
0.969994,0,0,0,0,0,0,0,0
0.971410,0,0,0,0,0,0,0,0
0.973587,0,0,0,0,0,0,0,0
0.975116,0,0,0,0,0,0,0,0
0.976483,0,0,0,0,0,0,0,0
0.978134,0,0,0,0,0,0,0,0
0.980272,0,0,0,0,0,0,0,0
0.981850,0,0,0,0,0,0,0,0
