elapsed_s,VPC_FE_POSRAM_FULL_CYCLES,VPC_FE_GMEM_NOP_FULL_CYCLES,VPC_FE_GMEM_POS_FULL_CYCLES,VPC_FE_BOTTLENECK,VPC_US_BUSY_CYCLES,VPC_US_WORKING_CYCLES
0.602802,0,0,0,0,0,0
0.604243,0,0,0,0,0,0
0.605609,0,0,0,0,0,0
0.606981,0,0,0,0,0,0
0.608347,0,0,0,0,0,0
0.609711,0,0,0,0,0,0
0.611074,0,0,0,0,0,0
0.612438,0,0,0,0,0,0
0.613802,0,0,0,0,0,0
0.615166,0,0,0,0,0,0
0.616532,0,0,0,0,0,0
0.617901,0,0,0,0,0,0
0.619264,0,0,0,0,0,0
0.620662,0,0,0,0,0,0
0.622011,0,0,0,0,0,0
0.623481,0,0,0,0,0,0
0.624830,0,0,0,0,0,0
0.626179,0,0,0,0,0,0
0.627529,0,0,0,0,0,0
0.628882,0,0,0,0,0,0
0.630324,0,0,0,0,0,0
0.631675,0,0,0,0,0,0
0.633024,0,0,0,0,0,0
0.634372,0,0,0,0,0,0
0.635748,0,0,0,0,0,0
0.637167,0,0,0,0,0,0
0.638585,0,0,0,0,0,0
0.640063,0,0,0,0,0,0
0.641456,0,0,0,0,0,0
0.642874,0,0,0,0,0,0
0.644290,0,0,0,0,0,0
0.645707,0,0,0,0,0,0
0.647130,0,0,0,0,0,0
0.648555,0,0,0,0,0,0
0.649931,0,0,0,0,0,0
0.651322,0,0,0,0,0,0
0.652706,0,0,0,0,0,0
0.654130,0,0,0,0,0,0
0.655591,0,0,0,0,0,0
0.656994,0,0,0,0,0,0
0.658396,0,0,0,0,0,0
0.659802,0,0,0,6,149,146
0.661341,0,0,0,0,0,0
0.665227,0,0,0,0,0,0
0.666624,0,0,0,0,0,0
0.668061,0,0,0,0,0,0
0.669455,0,0,0,0,0,0
0.670847,0,0,0,42,913,939
0.672149,0,0,0,0,0,0
0.673567,0,0,0,0,0,0
0.674986,0,0,0,0,0,0
