elapsed_s,VPC_FE_SP_COMPONENTS,VPC_FE_STALL_CYCLES_VPCRAM_POS,VPC_FE_VS_BUSY_CYCLES,VPC_FE_VS_WORKING_CYCLES,VPC_FE_NUM_VPCRAM_READ_POS,VPC_FE_WIT_FULL_CYCLES
0.893897,0,0,0,0,0,0
0.895287,0,0,0,0,0,0
0.896696,0,0,0,0,0,0
0.898086,0,0,0,0,0,0
0.899475,0,0,0,0,0,0
0.900865,0,0,0,0,0,0
0.902321,0,0,0,0,0,0
0.903756,0,0,0,0,0,0
0.905155,0,0,0,0,0,0
0.906559,0,0,0,0,0,0
0.907963,0,0,0,0,0,0
0.909360,0,0,0,0,0,0
0.910748,0,0,0,0,0,0
0.912138,0,0,0,0,0,0
0.913531,0,0,0,0,0,0
0.914931,0,0,0,0,0,0
0.916325,0,0,0,0,0,0
0.917851,0,0,0,0,0,0
0.919343,0,0,0,0,0,0
0.920747,0,0,0,0,0,0
0.922147,0,0,0,0,0,0
0.923545,0,0,0,0,0,0
0.924941,0,0,0,0,0,0
0.926340,0,0,0,0,0,0
0.927865,0,0,0,0,0,0
0.929441,0,0,0,0,0,0
0.931002,0,0,0,0,0,0
0.932561,0,0,0,0,0,0
0.934121,0,0,0,0,0,0
0.936179,0,0,0,0,0,0
0.937714,0,0,0,0,0,0
0.939162,0,0,0,0,0,0
0.940618,0,0,0,0,0,0
0.942086,0,0,0,0,0,0
0.945430,0,0,0,0,0,0
0.946868,0,0,0,0,0,0
0.948266,0,0,0,0,0,0
0.949659,0,0,0,0,0,0
0.951116,0,0,0,0,0,0
0.952513,0,0,0,0,0,0
0.953910,0,0,0,0,0,0
0.955493,0,0,0,0,0,0
0.957053,0,0,0,0,0,0
0.958619,0,0,0,0,0,0
0.960177,0,0,0,0,0,0
0.961630,0,0,0,0,0,0
0.963035,0,0,0,0,0,0
0.964433,0,0,0,0,0,0
0.965831,0,0,0,0,0,0
0.967271,0,0,0,0,0,0
0.968667,0,0,0,0,0,0
0.970194,0,0,0,0,0,0
0.971769,0,0,0,0,0,0
0.973333,0,0,0,0,0,0
0.974895,0,0,0,0,0,0
0.976454,0,0,0,0,0,0
0.978015,0,0,0,0,0,0
0.979463,0,0,0,0,0,0
0.981021,0,0,0,0,0,0
0.982601,0,0,0,0,0,0
0.984213,0,0,0,0,0,0
0.985776,0,0,0,0,0,0
0.987338,0,0,0,0,0,0
0.988897,0,0,0,0,0,0
0.990467,0,0,0,0,0,0
0.992026,0,0,0,0,0,0
0.993603,0,0,0,0,0,0
0.995165,0,0,0,0,0,0
0.996725,0,0,0,0,0,0
0.998284,0,0,0,0,0,0
0.999847,0,0,0,0,0,0
1.001409,0,0,0,0,0,0
1.002971,0,0,0,0,0,0
1.004544,0,0,0,0,0,0
1.006106,0,0,0,0,0,0
1.007667,0,0,0,0,0,0
1.009230,0,0,0,0,0,0
1.010789,0,0,0,0,0,0
1.012347,0,0,0,0,0,0
1.013908,0,0,0,0,0,0
1.015483,0,0,0,0,0,0
1.017042,0,0,0,0,0,0
1.018607,0,0,0,0,0,0
1.020042,0,0,0,0,0,0
1.021448,0,0,0,0,0,0
1.022977,0,0,0,0,0,0
1.024538,0,0,0,0,0,0
1.026113,0,0,0,0,0,0
1.027675,0,0,0,0,0,0
1.029239,0,0,0,0,0,0
1.030846,0,0,0,0,0,0
1.032407,0,0,0,0,0,0
1.033972,0,0,0,0,0,0
1.035533,0,0,0,0,0,0
1.037107,0,0,0,0,0,0
1.038750,0,0,0,0,0,0
1.040279,0,0,0,0,0,0
1.041701,0,0,0,0,0,0
1.043140,0,0,0,0,0,0
1.044538,0,0,0,0,0,0
1.045938,0,0,0,0,0,0
1.047346,0,0,0,0,0,0
1.048866,0,0,0,0,0,0
1.050432,0,0,0,0,0,0
1.051994,0,0,0,0,0,0
1.053559,0,0,0,0,0,0
1.055121,0,0,0,0,0,0
1.056682,0,0,0,0,0,0
