elapsed_s,LRZ_NEVER_COUNT,LRZ_BUSY_CYCLES,LRZ_STARVE_CYCLES_RAS
1.105029,0,0,2060434
1.106402,0,0,1689615
1.107800,0,0,1673965
1.109181,0,0,1672106
1.110604,0,0,1721554
1.111989,0,0,1678613
1.114939,0,0,3572926
1.116451,0,0,1863024
1.117997,0,0,1870504
1.119540,0,0,1869634
1.121087,0,0,1873486
1.122644,0,0,1885196
1.124187,0,0,1895082
1.125754,0,0,1926178
1.127342,0,0,1868030
1.128890,0,0,1876258
1.130435,0,0,1870017
1.131980,0,0,1870918
1.133537,0,0,1883948
1.135081,0,0,1870674
1.136627,0,0,1873596
1.138172,0,0,1869937
1.139716,0,0,1868575
1.141261,0,0,1873476
1.142808,0,0,1871481
1.144463,0,0,1989454
1.145869,0,0,1692647
1.147384,0,0,1859685
1.148930,0,0,1874429
1.150475,0,0,1869175
1.152057,0,0,1982172
1.153656,0,0,1870415
1.155212,0,0,1883452
1.156758,0,0,1873180
1.158346,0,0,1923376
1.159890,0,0,1869844
1.161435,12,0,1871711
1.162980,0,0,1869627
1.164527,0,0,1874258
1.166086,0,0,1888007
1.167629,0,0,1867517
1.169175,0,0,1873553
1.170720,0,0,1867873
1.172261,0,0,1873713
1.173681,0,0,1741546
1.175238,0,0,1858836
1.176798,0,0,1890532
1.178345,0,0,1871759
1.179887,3,0,1867770
1.181432,0,0,1872211
1.182977,0,0,1869691
1.184524,0,0,1874149
1.186068,0,0,1869792
1.187624,0,0,1884473
1.189171,0,0,1872553
1.190594,0,0,1702937
1.192112,0,0,1864896
1.193662,0,0,1870077
1.195204,0,0,1868589
1.196750,0,0,1873806
1.198309,0,0,1887765
1.199854,0,0,1869254
1.201398,0,0,1871294
1.202943,0,0,1869256
1.204489,0,0,1874180
1.206078,4,0,1923236
1.207621,0,0,1869303
1.209057,0,0,1713960
1.210573,0,0,1859977
1.212116,0,0,1874150
1.213665,0,0,1870450
1.215208,0,0,1870488
1.216756,0,0,1873664
1.218300,0,0,1869549
1.219856,0,0,1883629
1.221400,0,0,1870972
1.222946,0,0,1870765
1.224492,0,0,1874344
1.226037,0,0,1869966
1.227580,0,0,1868342
1.229126,0,0,1872373
1.230684,0,0,1886892
1.232227,0,0,1874685
1.233776,0,0,1869627
1.235335,0,0,1902746
1.237078,0,0,2078562
1.238514,0,0,1727086
1.239893,0,0,1668948
1.241280,0,0,1678401
1.242657,0,0,1666274
1.244031,0,0,1663890
1.245408,0,0,1673400
1.246919,0,0,1858549
1.248468,0,0,1877345
1.250015,0,0,1872096
1.251572,0,0,1884763
1.253119,0,0,1875434
1.254710,0,0,1925502
1.256254,0,0,1878123
1.257807,0,0,1872704
1.259353,0,0,1872307
1.260901,0,0,1875845
1.262461,0,0,1886500
1.264004,0,0,1869285
1.265419,0,0,1687502
1.266934,0,0,1861937
1.268481,0,0,1873861
1.270071,4,0,1924123
1.271614,5,0,1869396
1.273174,0,0,1889360
1.274721,0,0,1872845
1.276266,0,0,1877981
1.277818,0,0,1873324
1.279363,0,0,1871023
1.280912,0,0,1876206
1.282459,0,0,1873373
1.284017,0,0,1885780
1.285511,0,0,1783102
1.287028,0,0,1863798
1.288576,0,0,1874059
1.290122,0,0,1872412
1.291667,0,0,1871855
1.293215,0,0,1874319
1.294775,0,0,1888663
1.296320,0,0,1797234
1.297677,0,0,1690630
1.299061,0,0,1674036
1.300575,0,0,1856489
1.302156,0,0,1914203
1.303691,0,0,1858865
1.305115,0,0,1701819
1.306627,0,0,1857841
1.308042,0,0,1689398
1.309609,0,0,1923716
1.311154,0,0,1870478
1.312702,0,0,1876141
1.314248,0,0,1872310
1.315805,0,0,1885273
1.317352,0,0,1875070
1.318901,0,0,1874998
1.320450,0,0,1876652
1.321997,0,0,1872524
1.323542,0,0,1870355
1.325090,0,0,1870471
1.326642,0,0,1877560
1.328177,0,0,1946926
1.329667,0,0,1695862
1.331051,0,0,1673478
1.332564,0,0,1860751
1.334152,0,0,1922957
1.335696,0,0,1870860
1.337255,0,0,1887623
1.338801,0,0,1871436
1.340401,0,0,1935879
1.341945,0,0,1871145
1.343488,0,0,1869094
1.345035,0,0,1873394
1.346580,0,0,1870320
1.348135,0,0,1889361
1.349684,0,0,1925202
1.351272,0,0,1866952
1.352818,0,0,1874920
1.354364,0,0,1870757
1.355907,0,0,1869565
1.357452,0,0,1872105
1.359012,0,0,1887248
1.360559,0,0,1875310
1.362173,0,0,1948987
