elapsed_s,TP_NEVER_COUNT,TP_BUSY_CYCLES,TP_STALL_CYCLES_UCHE,TP_LATENCY_CYCLES,TP_LATENCY_TRANS,TP_FLAG_FIFO_DELAY_SAMPLES,TP_FLAG_FIFO_DELAY_CYCLES,TP_L1_CACHELINE_REQUESTS,TP_L1_CACHELINE_MISSES,TP_SP_TP_TRANS,TP_TP_SP_TRANS,TP_OUTPUT_PIXELS
0.632088,0,0,0,0,0,0,0,0,0,0,0,0
0.633569,0,0,0,0,0,0,0,0,0,0,0,0
0.635023,0,0,0,0,0,0,0,0,0,0,0,0
0.636457,0,0,0,0,0,0,0,0,0,0,0,0
0.637888,0,0,0,0,0,0,0,0,0,0,0,0
0.639320,0,0,0,0,0,0,0,0,0,0,0,0
0.640741,0,0,0,0,0,0,0,0,0,0,0,0
0.642299,0,0,0,0,0,0,0,0,0,0,0,0
0.643895,0,0,0,0,0,0,0,0,0,0,0,0
0.645503,0,0,0,0,0,0,0,0,0,0,0,0
0.647096,0,0,0,0,0,0,0,0,0,0,0,0
0.648569,0,0,0,0,0,0,0,0,0,0,0,0
0.650132,0,0,0,0,0,0,0,0,0,0,0,0
0.651729,0,0,0,0,0,0,0,0,0,0,0,0
0.653314,0,0,0,0,0,0,0,0,0,0,0,0
0.654899,0,0,0,0,0,0,0,0,0,0,0,0
0.656600,0,0,0,0,0,0,0,0,0,0,0,0
0.658193,0,0,0,0,0,0,0,0,0,0,0,0
0.659790,0,0,0,0,0,0,0,0,0,0,0,0
0.661376,0,0,0,0,0,0,0,0,0,0,0,0
0.662960,0,0,0,0,0,0,0,0,0,0,0,0
0.665212,0,0,0,0,0,0,0,0,0,0,0,0
0.666720,0,0,0,0,0,0,0,0,0,0,0,0
0.668156,0,0,0,0,0,0,0,0,0,0,0,0
