elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_15_WORKING_CC_L2,RAS_EMPTY_SBLOCK_SCAN_CYCLE_PERFCOUNTER,RAS_STEGN_STALL_BY_LATENCY_FIFO,RAS_STALL_CYCLES_LRZ_PREFETCH
0.615537,0,0,0,0
0.618555,0,0,0,0
0.619933,0,0,0,0
0.621286,0,0,0,0
0.622639,0,0,0,0
0.624253,0,0,0,0
0.625607,0,0,0,0
0.626961,0,0,0,0
0.628353,0,0,0,0
0.629700,0,0,0,0
0.631041,0,0,0,0
0.632381,0,0,0,0
0.633722,0,0,0,0
0.635080,0,0,0,0
0.636421,0,0,0,0
0.637759,0,0,0,0
0.639098,0,0,0,0
0.640443,0,0,0,0
0.641781,0,0,0,0
0.643120,0,0,0,0
0.644489,0,0,0,0
0.645900,0,0,0,0
0.647202,0,0,0,0
0.648612,0,0,0,0
0.650021,0,0,0,0
0.651437,0,0,0,0
0.652847,0,0,0,0
0.654277,0,0,0,0
0.655696,0,0,0,0
0.657000,0,0,0,0
0.658411,0,0,0,0
0.659822,0,0,0,0
0.661231,0,0,0,0
0.662645,0,0,0,0
0.664017,0,0,0,0
0.665401,0,0,0,0
0.666802,0,0,0,0
0.668237,0,0,0,0
0.669747,0,0,0,0
0.671167,0,0,0,0
0.672547,0,0,0,0
0.673935,0,0,0,0
0.675320,0,0,0,0
0.676741,0,0,0,0
0.678125,0,0,0,0
0.679555,0,0,0,0
0.680947,0,0,0,0
0.682337,0,0,0,0
0.683726,0,0,0,0
0.685123,0,0,0,0
0.686507,0,0,0,0
0.688903,0,0,0,0
0.690282,0,0,0,0
0.692011,0,0,0,0
0.693392,0,0,0,0
0.694772,0,0,0,0
0.699983,0,0,0,0
0.701367,0,0,0,0
0.702752,0,0,0,0
0.704215,0,0,0,0
0.705595,0,0,0,0
0.708185,0,0,0,0
0.709642,0,0,0,0
0.711005,0,0,0,0
0.712342,0,0,0,0
0.713721,0,0,0,0
0.715057,0,0,0,0
0.716394,0,0,0,0
0.717733,0,0,0,0
0.719071,0,0,0,0
0.720409,0,0,0,0
0.721759,0,0,0,0
0.723097,0,0,0,0
0.724568,0,0,0,0
0.726128,0,0,0,0
0.727678,0,0,0,0
