elapsed_s,PC_US_BV_STALLED_BY_UCHE_FEEDBACK,PC_US_VSD_RARB_DVIZ_FULL,PC_US_VSD_RARB_PVIZ_FULL,PC_US_VSD_RARB_TVIZ_FULL,PC_US_DP0_RARB_FULL,PC_US_DP1_RARB_FULL,PC_US_DP0_LIVE_PRIM,PC_US_DP1_LIVE_PRIM
0.659925,0,0,0,0,0,0,0,0
0.661512,0,0,0,0,0,0,0,0
0.663087,0,0,0,0,0,0,0,0
0.664660,0,0,0,0,0,0,0,0
0.666280,0,0,0,0,0,0,0,0
0.667854,0,0,0,0,0,0,0,0
0.669428,0,0,0,0,0,0,0,0
0.671006,0,0,0,0,0,0,0,0
0.672593,0,0,0,0,0,0,0,0
0.674168,0,0,0,0,0,0,0,0
0.675743,0,0,0,0,0,0,0,0
0.677315,0,0,0,0,0,0,0,0
0.678895,0,0,0,0,0,0,0,0
0.680466,0,0,0,0,0,0,0,0
0.682086,0,0,0,0,0,0,0,0
0.683673,0,0,0,0,0,0,0,0
0.685246,0,0,0,0,0,0,0,0
0.686778,0,0,0,0,0,0,0,0
0.688321,0,0,0,0,0,0,0,0
0.689897,0,0,0,0,0,0,0,0
0.691471,0,0,0,0,0,0,0,0
0.693043,0,0,0,0,0,0,0,0
0.694501,0,0,0,0,0,0,0,0
0.696047,0,0,0,0,0,0,0,0
0.697668,0,0,0,0,0,0,0,0
0.699244,0,0,0,0,0,0,0,0
0.700817,0,0,0,0,0,0,0,0
0.702394,0,0,0,0,0,0,0,0
0.703968,0,0,0,0,0,0,0,0
0.705553,0,0,0,0,0,0,0,0
0.707147,0,0,0,0,0,0,0,0
0.708719,0,0,0,0,0,0,0,0
0.710295,0,0,0,0,0,0,0,0
0.711869,0,0,0,0,0,0,0,0
0.713441,0,0,0,0,0,0,0,0
0.715066,0,0,0,0,0,0,0,0
0.716652,0,0,0,0,0,0,0,0
0.718228,0,0,0,0,0,0,0,0
0.719802,0,0,0,0,0,0,0,0
0.721375,0,0,0,0,0,0,0,0
0.722954,0,0,0,0,0,0,0,0
0.724526,0,0,0,0,0,0,0,0
0.726101,0,0,0,0,0,0,0,0
0.727688,0,0,0,0,0,0,0,0
0.729261,0,0,0,0,0,0,0,0
0.730835,0,0,0,0,0,0,0,0
0.732370,0,0,0,0,0,0,0,0
0.733810,0,0,0,0,0,0,0,0
0.735354,0,0,0,0,0,0,0,0
0.736925,0,0,0,0,0,0,0,0
0.738510,0,0,0,0,0,0,0,0
0.740083,0,0,0,0,0,0,0,0
0.741659,0,0,0,0,0,0,0,0
0.743232,0,0,0,0,0,0,0,0
0.744803,0,0,0,0,0,0,0,0
0.746422,0,0,0,0,0,0,0,0
0.747995,0,0,0,0,0,0,0,0
0.749646,0,0,0,0,0,0,0,0
0.751321,0,0,0,0,0,0,0,0
0.752892,0,0,0,0,0,0,0,0
0.754465,0,0,0,0,0,0,0,0
0.756036,0,0,0,0,0,0,0,0
0.757610,0,0,0,0,0,0,0,0
0.759183,0,0,0,0,0,0,0,0
0.760766,0,0,0,0,0,0,0,0
0.762383,0,0,0,0,0,0,0,0
0.763957,0,0,0,0,0,0,0,0
0.765526,0,0,0,0,0,0,0,0
0.767144,0,0,0,0,0,0,0,0
0.768714,0,0,0,0,0,0,0,0
0.770180,0,0,0,0,0,0,0,0
0.771759,0,0,0,0,0,0,0,0
0.773331,0,0,0,0,0,0,0,0
0.774907,0,0,0,0,0,0,0,0
0.776477,0,0,0,0,0,0,0,0
0.778094,0,0,0,0,0,0,0,0
0.779668,0,0,0,0,0,0,0,0
0.781238,0,0,0,0,0,0,0,0
0.782910,0,0,0,0,0,0,0,0
0.784492,0,0,0,0,0,0,0,0
0.786067,0,0,0,0,0,0,0,0
0.787641,0,0,0,0,0,0,0,0
0.789212,0,0,0,0,0,0,0,0
0.790835,0,0,0,0,0,0,0,0
0.792408,0,0,0,0,0,0,0,0
0.794038,0,0,0,0,0,0,0,0
0.795616,0,0,0,0,0,0,0,0
0.797187,0,0,0,0,0,0,0,0
0.798628,0,0,0,0,0,0,0,0
0.800171,0,0,0,0,0,0,0,0
0.801744,0,0,0,0,0,0,0,0
0.803317,0,0,0,0,0,0,0,0
0.804899,0,0,0,0,0,0,0,0
0.806471,0,0,0,0,0,0,0,0
0.807922,0,0,0,0,0,0,0,0
0.809471,0,0,0,0,0,0,0,0
0.811096,0,0,0,0,0,0,0,0
0.812667,0,0,0,0,0,0,0,0
0.814242,0,0,0,0,0,0,0,0
0.815829,0,0,0,0,0,0,0,0
0.817399,0,0,0,0,0,0,0,0
0.818883,0,0,0,0,0,0,0,0
0.820294,0,0,0,0,0,0,0,0
0.821836,0,0,0,0,0,0,0,0
0.823410,0,0,0,0,0,0,0,0
0.824981,0,0,0,0,0,0,0,0
0.826441,0,0,0,0,0,0,0,0
0.827985,0,0,0,0,0,0,0,0
0.829557,0,0,0,0,0,0,0,0
0.831183,0,0,0,0,0,0,0,0
0.832753,0,0,0,0,0,0,0,0
0.834328,0,0,0,0,0,0,0,0
0.835902,0,0,0,0,0,0,0,0
0.837486,0,0,0,0,0,0,0,0
0.839063,0,0,0,0,0,0,0,0
0.840632,0,0,0,0,0,0,0,0
0.842129,0,0,0,0,0,0,0,0
0.843678,0,0,0,0,0,0,0,0
0.845250,0,0,0,0,0,0,0,0
0.846916,0,0,0,0,0,0,0,0
0.848500,0,0,0,0,0,0,0,0
0.850075,0,0,0,0,0,0,0,0
0.851649,0,0,0,0,0,0,0,0
0.853221,0,0,0,0,0,0,0,0
0.854845,0,0,0,0,0,0,0,0
0.856418,0,0,0,0,0,0,0,0
0.858036,0,0,0,0,0,0,0,0
0.859624,0,0,0,0,0,0,0,0
0.861197,0,0,0,0,0,0,0,0
0.862637,0,0,0,0,0,0,0,0
0.864171,0,0,0,0,0,0,0,0
0.865642,0,0,0,0,0,0,0,0
0.867187,0,0,0,0,0,0,0,0
0.868756,0,0,0,0,0,0,0,0
0.870342,0,0,0,0,0,0,0,0
0.871915,0,0,0,0,0,0,0,0
0.873485,0,0,0,0,0,0,0,0
0.875108,0,0,0,0,0,0,0,0
0.876680,0,0,0,0,0,0,0,0
0.878255,0,0,0,0,0,0,0,0
0.879828,0,0,0,0,0,0,0,0
0.881411,0,0,0,0,0,0,0,0
0.883008,0,0,0,0,0,0,0,0
0.884578,0,0,0,0,0,0,0,0
0.886152,0,0,0,0,0,0,0,0
0.887725,0,0,0,0,0,0,0,0
0.889295,0,0,0,0,0,0,0,0
0.890916,0,0,0,0,0,0,0,0
0.892499,0,0,0,0,0,0,0,0
0.894073,0,0,0,0,0,0,0,0
0.895647,0,0,0,0,0,0,0,0
0.897218,0,0,0,0,0,0,0,0
0.898851,0,0,0,0,0,0,0,0
0.900421,0,0,0,0,0,0,0,0
0.901995,0,0,0,0,0,0,0,0
0.903578,0,0,0,0,0,0,0,0
0.905148,0,0,0,0,0,0,0,0
0.906722,0,0,0,0,0,0,0,0
0.908294,0,0,0,0,0,0,0,0
0.909867,0,0,0,0,0,0,0,0
0.911440,0,0,0,0,0,0,0,0
0.913011,0,0,0,0,0,0,0,0
0.914596,0,0,0,0,0,0,0,0
0.916169,0,0,0,0,0,0,0,0
0.917742,0,0,0,0,0,0,0,0
0.919190,0,0,0,0,0,0,0,0
0.920737,0,0,0,0,0,0,0,0
0.922359,0,0,0,0,0,0,0,0
0.923934,0,0,0,0,0,0,0,0
0.925517,0,0,0,0,0,0,0,0
0.927090,0,0,0,0,0,0,0,0
0.928707,0,0,0,0,0,0,0,0
0.930279,0,0,0,0,0,0,0,0
0.931849,0,0,0,0,0,0,0,0
0.933807,0,0,0,0,0,0,0,0
0.935231,0,0,0,0,0,0,0,0
0.936650,0,0,0,0,0,0,0,0
0.938101,0,0,0,0,0,0,0,0
0.939508,0,0,0,0,0,0,0,0
0.940912,0,0,0,0,0,0,0,0
0.942440,0,0,0,0,0,0,0,0
0.944012,0,0,0,0,0,0,0,0
0.945638,0,0,0,0,0,0,0,0
0.947221,0,0,0,0,0,0,0,0
