elapsed_s,TP_FILTER_WORKLOAD_16BIT,TP_FILTER_WORKLOAD_32BIT,TP_QUADS_RECEIVED,TP_QUADS_OFFSET,TP_QUADS_SHADOW,TP_QUADS_ARRAY,TP_QUADS_GRADIENT,TP_QUADS_1D,TP_QUADS_2D,TP_QUADS_BUFFER,TP_QUADS_3D,TP_QUADS_CUBE
0.453945,0,0,0,0,0,0,0,0,0,0,0,0
0.455387,0,0,0,0,0,0,0,0,0,0,0,0
0.456828,0,0,0,0,0,0,0,0,0,0,0,0
0.458185,0,0,0,0,0,0,0,0,0,0,0,0
0.459542,0,0,0,0,0,0,0,0,0,0,0,0
0.460937,0,0,0,0,0,0,0,0,0,0,0,0
0.462329,0,0,0,0,0,0,0,0,0,0,0,0
0.463720,0,0,0,0,0,0,0,0,0,0,0,0
0.465168,0,0,0,0,0,0,0,0,0,0,0,0
0.466561,0,0,0,0,0,0,0,0,0,0,0,0
0.467968,0,0,0,0,0,0,0,0,0,0,0,0
0.469384,0,0,0,0,0,0,0,0,0,0,0,0
0.470765,0,0,0,0,0,0,0,0,0,0,0,0
0.472144,0,21504,8448,0,0,0,0,0,0,23296,0,0
0.473582,0,240640,57088,0,0,0,0,0,0,42240,0,0
0.474973,0,0,0,0,0,0,0,0,0,0,0,0
0.476381,0,0,0,0,0,0,0,0,0,0,0,0
0.477821,0,0,0,0,0,0,0,0,0,0,0,0
0.479209,0,0,0,0,0,0,0,0,0,0,0,0
0.480597,0,0,0,0,0,0,0,0,0,0,0,0
0.482204,0,0,0,0,0,0,0,0,0,0,0,0
0.483648,0,0,0,0,0,0,0,0,0,0,0,0
0.485091,0,0,0,0,0,0,0,0,0,0,0,0
0.486539,0,0,0,0,0,0,0,0,0,0,0,0
0.487964,0,0,0,0,0,0,0,0,0,0,0,0
0.492735,0,0,0,0,0,0,0,0,0,0,0,0
0.494163,0,0,0,0,0,0,0,0,0,0,0,0
0.495592,0,0,0,0,0,0,0,0,0,0,0,0
0.497069,0,0,0,0,0,0,0,0,0,0,0,0
0.498492,0,0,0,0,0,0,0,0,0,0,0,0
0.499960,0,0,0,0,0,0,0,0,0,0,0,0
0.501408,0,0,0,0,0,0,0,0,0,0,0,0
