elapsed_s,VPC_US_STREAMOUT_TRANSACTION,VPC_US_NUM_GMEM_READ_SO,VPC_US_STARVE_CYCLES_UCHE_RD,VPC_US_STALL_CYCLES_PRG_END_VPCUS,VPC_US_STARVE_CYCLES_REORDER,VPC_US_BOTTLENECK
1.019488,0,0,0,0,508515,0
1.021270,0,0,0,0,518955,0
1.023166,0,0,0,0,548517,0
1.024836,0,0,0,0,505491,0
1.026617,0,0,0,0,518094,0
1.028377,0,0,0,0,522780,0
1.030205,0,0,0,0,597888,0
1.032112,0,0,0,0,526800,0
1.033949,0,0,0,0,521880,0
1.035861,0,0,0,0,517950,0
1.037688,0,0,0,0,516261,0
1.039517,0,0,0,0,516351,0
1.041343,0,0,0,0,514482,0
1.043161,0,0,0,0,520293,0
1.044988,0,0,0,0,516948,0
1.046711,0,0,0,0,433416,0
1.048329,0,0,0,0,330771,0
1.049949,0,0,0,0,322644,0
1.051788,0,0,0,0,407694,0
1.053524,0,0,0,0,322359,0
1.055537,0,0,0,0,330849,0
1.057171,0,0,0,0,322446,0
1.059100,0,0,0,0,334737,0
1.060930,0,0,0,0,330192,0
1.063123,0,0,0,0,433449,0
1.064873,0,0,0,0,317928,0
1.066440,0,0,0,0,317088,0
1.068016,0,0,0,0,318159,0
1.069580,0,0,0,0,317190,0
1.071210,0,0,0,0,384777,0
1.072880,0,0,0,0,321153,0
1.074451,0,0,0,0,321339,0
1.076022,0,0,0,0,322491,0
1.077592,0,0,0,0,321162,0
1.079241,0,0,0,0,324726,0
1.080815,0,0,0,0,321816,0
1.082385,0,0,0,0,322317,0
1.083956,0,0,0,0,322950,0
1.085525,0,0,0,0,322854,0
1.087095,0,0,0,0,322791,0
1.088873,0,0,0,0,329472,0
1.090517,0,0,0,0,741918,0
1.092737,0,0,0,0,325602,0
1.094524,0,0,0,0,336543,0
1.096362,0,0,0,0,331122,0
1.097985,0,0,0,0,321741,0
1.099772,0,0,0,0,332280,0
1.101621,0,0,0,0,330402,0
1.103527,0,0,0,0,326298,0
1.105339,0,0,0,0,326118,0
1.107148,0,0,0,0,377661,0
1.108888,0,0,0,0,330918,0
1.110800,0,0,0,0,320463,0
1.112388,0,0,0,0,319620,0
1.113956,0,0,0,0,322794,0
1.115529,0,0,0,0,320613,0
1.117098,0,0,0,0,320670,0
