elapsed_s,VPC_FE_POSRAM_FULL_CYCLES,VPC_FE_GMEM_NOP_FULL_CYCLES,VPC_FE_GMEM_POS_FULL_CYCLES,VPC_FE_BOTTLENECK,VPC_US_BUSY_CYCLES,VPC_US_WORKING_CYCLES
0.108101,0,0,0,0,0,0
0.109587,0,0,0,0,0,0
0.111026,0,0,0,0,0,0
0.112489,0,0,0,0,0,0
0.113985,0,0,0,0,0,0
0.115514,0,0,0,0,0,0
0.117110,0,0,0,0,0,0
0.118729,0,0,0,24,439,459
0.122807,0,0,0,72,1165,1287
0.123999,0,0,0,78,1235,1224
0.125186,0,0,0,36,711,716
0.126637,0,0,0,0,0,0
0.127959,0,0,0,0,0,0
0.129337,0,0,0,0,0,0
0.130687,0,0,0,0,0,0
0.132053,0,0,0,0,0,0
0.133398,0,0,0,0,0,0
0.134745,0,0,0,0,0,0
0.136120,0,0,0,0,0,0
0.137515,0,0,0,0,0,0
0.138973,0,0,0,0,0,0
0.140359,0,0,0,0,0,0
0.141744,0,0,0,0,0,0
0.143144,0,0,0,0,0,0
0.144580,0,0,0,0,0,0
0.145958,0,0,0,0,0,0
0.147650,0,0,0,0,0,0
0.149671,0,0,0,0,0,0
0.151052,0,0,0,0,0,0
0.152462,0,0,0,0,0,0
0.153846,0,0,0,0,0,0
0.155194,0,0,0,0,0,0
0.156538,0,0,0,0,0,0
0.157877,0,0,0,0,0,0
0.159207,0,0,0,0,0,0
0.160571,0,0,0,0,0,0
0.161985,0,0,0,0,0,0
0.163358,0,0,0,0,0,0
0.164712,0,0,0,0,0,0
0.166068,0,0,0,0,0,0
0.167426,0,0,0,0,0,0
0.168800,0,0,0,0,0,0
0.170305,0,0,0,0,0,0
0.171784,0,0,0,0,0,0
0.173315,0,0,0,0,0,0
0.175177,0,0,0,0,0,0
0.176708,0,0,0,0,0,0
0.178277,0,0,0,0,0,0
0.179778,0,0,0,0,0,0
0.181272,0,0,0,0,0,0
0.182758,0,0,0,0,0,0
0.184299,0,0,0,0,0,0
0.185785,0,0,0,0,0,0
0.187229,0,0,0,0,0,0
0.188891,0,0,0,0,0,0
0.190487,0,0,0,0,0,0
0.191976,0,0,0,0,0,0
0.193526,0,0,0,0,0,0
0.195205,0,0,0,0,0,0
0.196691,0,0,0,0,0,0
0.198249,0,0,0,0,0,0
0.199735,0,0,0,0,0,0
0.201287,0,0,0,0,0,0
0.202773,0,0,0,0,0,0
0.204449,0,0,0,0,0,0
0.206176,0,0,0,0,0,0
0.207903,0,0,0,0,0,0
0.209700,0,0,0,0,0,0
0.211427,0,0,0,0,0,0
0.212993,0,0,0,0,0,0
0.214679,0,0,0,0,0,0
0.216470,0,0,0,0,0,0
0.218005,0,0,0,0,0,0
0.219677,0,0,0,0,0,0
0.221211,0,0,0,0,0,0
0.222896,0,0,0,0,0,0
0.224516,0,0,0,0,0,0
0.226200,0,0,0,0,0,0
0.227924,0,0,0,0,0,0
0.229482,0,0,0,0,0,0
0.230996,0,0,0,0,0,0
0.232550,0,0,0,0,0,0
0.234170,0,0,0,0,0,0
0.235670,0,0,0,0,0,0
0.238313,0,0,0,0,0,0
0.239983,0,0,0,0,0,0
0.241579,0,0,0,0,0,0
0.243251,0,0,0,0,0,0
0.245124,0,0,0,0,0,0
0.246873,0,0,0,0,0,0
0.248664,0,0,0,0,0,0
0.250391,0,0,0,0,0,0
0.252103,0,0,0,0,0,0
0.253758,0,0,0,0,0,0
0.255342,0,0,0,0,0,0
0.257134,0,0,0,0,0,0
0.258904,0,0,0,0,0,0
0.260626,0,0,0,0,0,0
0.262356,0,0,0,0,0,0
0.264077,0,0,0,0,0,0
0.265613,0,0,0,0,0,0
0.267127,0,0,0,0,0,0
0.270036,0,0,0,0,0,0
0.271800,0,0,0,0,0,0
0.273363,0,0,0,0,0,0
0.274854,0,0,0,0,0,0
0.276340,0,0,0,0,0,0
0.277837,0,0,0,0,0,0
0.279324,0,0,0,0,0,0
0.280864,0,0,0,0,0,0
0.282353,0,0,0,0,0,0
0.283837,0,0,0,0,0,0
0.285320,0,0,0,0,0,0
0.287230,0,0,0,0,0,0
0.288861,0,0,0,0,0,0
0.290369,0,0,0,0,0,0
0.291858,0,0,0,0,0,0
0.293350,0,0,0,0,0,0
0.294839,0,0,0,0,0,0
0.296380,0,0,0,0,0,0
0.298058,0,0,0,0,0,0
0.299806,0,0,0,0,0,0
0.301537,0,0,0,0,0,0
0.303266,0,0,0,0,0,0
0.305072,0,0,0,0,0,0
0.306802,0,0,0,0,0,0
0.308532,0,0,0,0,0,0
0.310232,0,0,0,0,0,0
0.311718,0,0,0,0,0,0
0.313200,0,0,0,0,0,0
0.314798,0,0,0,0,0,0
0.316327,0,0,0,0,0,0
0.317810,0,0,0,0,0,0
0.319290,0,0,0,0,0,0
0.320800,0,0,0,0,0,0
0.322268,0,0,0,0,0,0
0.323813,0,0,0,0,0,0
0.325304,0,0,0,0,0,0
0.326981,0,0,0,0,0,0
0.328769,0,0,0,0,0,0
0.330503,0,0,0,0,0,0
0.332244,0,0,0,0,0,0
0.333971,0,0,0,0,0,0
0.335696,0,0,0,0,0,0
0.337425,0,0,0,0,0,0
0.339151,0,0,0,0,0,0
0.340875,0,0,0,0,0,0
