elapsed_s,VPC_BE_PS_BUSY_CYCLES,VPC_BE_PS_WORKING_CYCLES,VPC_BE_STALL_CYCLES_CCHE,VPC_BE_STARVE_CYCLES_CCHE,VPC_BE_LM_FULL_WAIT_FOR_INTP_END,VPC_BE_CCHE_REQBUF_FULL
0.591142,0,0,0,8347794,0,0
0.592406,0,0,0,8342442,0,0
0.593671,0,0,0,8358510,0,0
0.594946,0,0,0,8405496,0,0
0.596210,0,0,0,8338176,0,0
0.597474,0,0,0,8342946,0,0
0.598739,0,0,0,8351706,0,0
0.600004,0,0,0,8343816,0,0
0.601267,0,0,0,8341524,0,0
0.602567,0,0,0,8577258,0,0
0.603832,0,0,0,8346462,0,0
0.605104,0,0,0,8395890,0,0
0.607986,0,0,0,19110798,0,0
0.609274,0,0,0,8444658,0,0
0.610547,0,0,0,8382240,0,0
0.611815,0,0,0,8360514,0,0
0.613081,0,0,0,8358504,0,0
0.614349,0,0,0,8368188,0,0
0.615625,0,0,0,8425128,0,0
0.616890,0,0,0,8346270,0,0
0.618193,0,0,0,8595300,0,0
0.619459,0,0,0,8352876,0,0
0.620723,0,0,0,7507104,0,0
0.621992,0,0,0,9374016,0,0
0.623422,0,0,0,9435102,0,0
0.624850,0,0,0,9424278,0,0
0.626173,0,0,0,8604174,0,0
0.627448,0,0,0,8399790,0,0
0.628717,0,0,0,8370276,0,0
0.629986,0,0,0,8355018,0,0
0.631248,0,0,0,8332104,0,0
0.632510,0,0,0,8324514,0,0
0.633946,0,0,0,10439442,0,0
0.635480,0,0,0,9319038,0,0
0.636915,0,0,0,9471690,0,0
0.638217,0,0,0,8472288,0,0
0.639490,0,0,0,8378736,0,0
0.640885,0,0,0,9358800,0,0
0.642191,0,0,0,8481006,0,0
0.643466,0,0,0,8428638,0,0
0.644736,0,0,0,8342676,0,0
0.646027,0,0,0,8705412,0,0
0.647347,0,0,0,8565720,0,0
0.648620,0,0,0,8377938,0,0
0.649888,0,0,0,8366346,0,0
0.651196,0,0,0,8634024,0,0
0.652461,0,0,0,8343912,0,0
0.653730,0,0,0,8413314,0,0
0.655130,0,0,0,9363906,0,0
0.656558,0,0,0,9424710,0,0
0.657880,0,0,0,8587848,0,0
0.659153,0,0,0,8397042,0,0
0.660422,0,0,0,8361834,0,0
0.661687,0,0,0,8369052,0,0
0.662956,0,0,0,8352966,0,0
