elapsed_s,TP_NEVER_COUNT,TP_BUSY_CYCLES,TP_STALL_CYCLES_UCHE,TP_LATENCY_CYCLES,TP_LATENCY_TRANS,TP_FLAG_FIFO_DELAY_SAMPLES,TP_FLAG_FIFO_DELAY_CYCLES,TP_L1_CACHELINE_REQUESTS,TP_L1_CACHELINE_MISSES,TP_SP_TP_TRANS,TP_TP_SP_TRANS,TP_OUTPUT_PIXELS
0.106761,0,0,0,0,0,0,0,0,0,0,0,0
0.108184,0,0,0,0,0,0,0,0,0,0,0,0
0.109669,0,0,0,0,0,0,0,0,0,0,0,0
0.111089,0,0,0,0,0,0,0,0,0,0,0,0
0.112512,0,0,0,0,0,0,0,0,0,0,0,0
0.113933,0,0,0,0,0,0,0,0,0,0,0,0
0.115367,0,0,0,0,0,0,0,0,0,0,0,0
0.116790,0,0,0,0,0,0,0,0,0,0,0,0
0.118210,0,0,0,0,0,0,0,0,0,0,0,0
0.119634,0,0,0,0,0,0,0,0,0,0,0,0
0.121056,0,0,0,0,0,0,0,0,0,0,0,0
0.122479,0,0,0,0,0,0,0,0,0,0,0,0
0.123901,0,0,0,0,0,0,0,0,0,0,0,0
0.125324,0,0,0,0,0,0,0,0,0,0,0,0
0.126755,0,0,0,0,0,0,0,0,0,0,0,0
0.128221,0,0,0,0,0,0,0,0,0,0,0,0
0.129640,0,0,0,0,0,0,0,0,0,0,0,0
0.131063,0,0,0,0,0,0,0,0,0,0,0,0
0.132491,0,0,0,0,0,0,0,0,0,0,0,0
0.133920,0,0,0,0,0,0,0,0,0,0,0,0
0.135347,0,0,0,0,0,0,0,0,0,0,0,0
0.136785,0,0,0,0,0,0,0,0,0,0,0,0
0.138341,0,0,0,0,0,0,0,0,0,0,0,0
0.139929,0,0,0,0,0,0,0,0,0,0,0,0
0.141520,0,0,0,0,0,0,0,0,0,0,0,0
0.143110,0,0,0,0,0,0,0,0,0,0,0,0
0.144746,0,0,0,0,0,0,0,0,0,0,0,0
0.146336,0,0,0,0,0,0,0,0,0,0,0,0
0.147939,0,0,0,0,0,0,0,0,0,0,0,0
0.149401,0,0,0,0,0,0,0,0,0,0,0,0
0.150962,0,0,0,0,0,0,0,0,0,0,0,0
0.152554,0,0,0,0,0,0,0,0,0,0,0,0
0.154146,0,0,0,0,0,0,0,0,0,0,0,0
0.155736,0,0,0,0,0,0,0,0,0,0,0,0
0.157326,0,0,0,0,0,0,0,0,0,0,0,0
0.158806,0,0,0,0,0,0,0,0,0,0,0,0
0.160414,0,0,0,0,0,0,0,0,0,0,0,0
0.162007,0,0,0,0,0,0,0,0,0,0,0,0
0.163596,0,0,0,0,0,0,0,0,0,0,0,0
0.165188,0,0,0,0,0,0,0,0,0,0,0,0
0.166779,0,0,0,0,0,0,0,0,0,0,0,0
0.168450,0,0,0,0,0,0,0,0,0,0,0,0
0.169988,0,0,0,0,0,0,0,0,0,0,0,0
0.171423,0,0,0,0,0,0,0,0,0,0,0,0
0.172983,0,0,0,0,0,0,0,0,0,0,0,0
0.174573,0,0,0,0,0,0,0,0,0,0,0,0
0.176204,0,0,0,0,0,0,0,0,0,0,0,0
0.177845,0,0,0,0,0,0,0,0,0,0,0,0
