elapsed_s,CP_MEMORY_POOL_BELOW_THRESH,CP_AHB_WR_STALL_PRE_DRAWS,CP_AHB_STALL_SQE_GMU,CP_AHB_STALL_SQE_WR_OTHER,CP_AHB_STALL_SQE_RD_OTHER,CP_CLUSTER_FE_U_EMPTY,CP_CLUSTER_FE_S_EMPTY,CP_CLUSTER_SP_VS_EMPTY,CP_CLUSTER_VPC_US_EMPTY,CP_CLUSTER_VPC_VS_EMPTY,CP_CLUSTER_GRAS_EMPTY,CP_CLUSTER_SP_PS_EMPTY,CP_CLUSTER_VPC_PS_EMPTY,CP_CLUSTER_PS_EMPTY
2.682280,0,0,0,0,0,311615,311613,311612,311610,311609,311607,311607,311606,311605
2.683968,0,0,0,0,0,311309,311294,311357,311356,311355,311354,311353,311351,311350
2.685659,0,0,0,0,0,311054,311102,311052,311051,311049,311049,311048,311047,311046
2.687453,0,0,0,0,0,501287,501301,501558,501558,501557,501574,501622,501621,501620
2.689337,0,0,0,0,0,310597,310596,310322,310320,310320,310348,310299,310299,310297
2.690870,0,0,0,0,0,335648,335597,335597,335596,335594,335545,335544,335542,335541
2.692438,0,0,0,0,0,305823,305823,305835,305868,305867,305866,305913,305962,305961
2.693957,0,0,0,0,0,305901,305885,305885,305851,305850,305850,305800,305750,305749
2.695473,0,0,0,0,0,305791,305790,305789,305787,305786,305786,305834,305832,305831
2.696987,0,0,0,0,0,304332,304361,304344,304392,304391,304389,304340,304339,304339
2.698640,0,0,0,0,0,311409,311393,311407,311391,311391,311391,311388,311387,311386
2.700210,0,0,0,0,0,287905,287267,286584,285871,285189,284491,283811,283130,282448
2.701874,0,0,0,0,0,268885,268854,268856,268851,268851,268866,268850,268850,268848
2.703563,0,0,0,0,0,269615,269657,269643,269630,269629,269612,269625,269622,269624
2.705252,0,0,0,0,0,272330,272287,272311,272325,272324,272352,272351,272338,272333
2.706946,0,0,0,0,0,296823,296850,296835,296820,296804,296789,296775,296787,296774
2.708685,0,0,0,0,0,269075,269047,269048,269073,269084,269084,269097,269094,269096
2.710387,0,0,0,0,0,270074,270071,270070,270055,270057,270056,270040,270042,270037
2.712076,0,0,0,0,0,270486,270486,270485,270470,270469,270465,270493,270492,270506
2.713768,0,0,0,0,0,270933,270932,270931,270946,270929,270931,270915,270913,270912
