elapsed_s,TSE_FE_ZERO_AREA_PRIM,TSE_FE_FACENESS_CULLED_PRIM,TSE_FE_ZERO_PIXEL_PRIM,TSE_FE_OUTPUT_NULL_PRIM
1.157677,0,0,0,0
1.159226,0,0,0,0
1.160780,0,0,0,0
1.162218,0,0,0,0
1.163744,0,0,0,0
1.165292,0,0,0,0
1.166882,0,0,0,0
1.168302,0,0,0,0
1.169821,0,0,0,0
1.171371,0,0,0,0
1.172933,0,0,0,0
1.174522,0,0,0,0
1.176073,0,0,0,0
1.177501,0,0,0,0
1.179023,0,0,0,0
1.180508,0,0,0,0
1.182026,0,0,0,0
1.183635,0,0,0,0
1.185184,0,0,0,0
1.186731,0,0,0,0
1.188279,0,0,0,0
1.189828,0,0,0,0
1.191379,0,0,0,0
1.192927,0,0,0,0
1.194488,0,0,0,0
1.196036,0,0,0,0
1.197587,0,0,0,0
1.199136,0,0,0,0
1.200689,0,0,0,0
1.202235,0,0,0,0
1.203786,0,0,0,0
1.205347,0,0,0,0
1.206936,0,0,0,0
1.208486,0,0,0,0
1.210034,0,0,0,0
1.211584,0,0,0,0
1.213132,0,0,0,0
1.214722,0,0,0,0
1.216283,0,0,0,0
1.217832,0,0,0,0
1.219382,0,0,0,0
1.220931,0,0,0,0
1.222521,0,0,0,0
1.224072,0,0,0,0
1.225621,0,0,0,0
1.227181,0,0,0,0
1.228824,0,0,0,0
1.230214,0,0,0,0
1.231774,0,0,0,0
1.233322,0,0,0,0
1.234867,0,0,0,0
1.236415,0,0,0,0
1.237974,0,0,0,0
1.239500,0,0,0,0
1.241040,0,0,0,0
1.242581,0,0,0,0
1.243998,0,0,0,0
1.245516,0,0,0,0
1.247106,0,0,0,0
1.248672,0,0,0,0
1.250219,0,0,0,0
1.251769,0,0,0,0
1.253318,0,0,0,0
1.254908,0,0,0,0
1.256457,0,0,0,0
1.258004,0,0,0,0
1.259447,0,0,0,0
1.260963,0,0,0,0
1.262545,0,0,0,0
1.263963,0,0,0,0
1.265483,0,0,0,0
1.267032,0,0,0,0
1.268650,0,0,0,0
1.270210,0,0,0,0
1.271807,0,0,0,0
1.273357,0,0,0,0
1.274905,0,0,0,0
1.276455,0,0,0,0
1.278007,0,0,0,0
1.279602,0,0,0,0
1.281165,0,0,0,0
1.282713,0,0,0,0
1.284263,0,0,0,0
