elapsed_s,TSE_BE_EARLY_CULL_CLIPPED_PRIM,TSE_BE_BR_STALLS_DUETO_BV_CLIP,TSE_BE_BR_STALLS_DUETO_BV_POLY,TSE_BE_BV_STALLS_DUETO_BR_CLIP
0.931915,0,0,0,0
0.933467,0,0,0,0
0.935065,0,0,0,0
0.936620,0,0,0,0
0.938172,0,0,0,0
0.939609,0,0,0,0
0.941129,0,0,0,0
0.942811,0,0,0,0
0.944326,0,0,0,0
0.945851,0,0,0,0
0.947408,0,0,0,0
0.948967,0,0,0,0
0.950535,0,0,0,0
0.952144,0,0,0,0
0.953700,0,0,0,0
0.955259,0,0,0,0
0.956808,0,0,0,0
0.958355,0,0,0,0
0.960024,0,0,0,0
0.961510,0,0,0,0
0.962918,0,0,0,0
0.964313,0,0,0,0
0.965704,0,0,0,0
0.967139,0,0,0,0
0.968531,0,0,0,0
0.970005,0,0,0,0
0.971563,0,0,0,0
0.973125,0,0,0,0
0.974908,0,0,0,0
0.976370,0,0,0,0
0.977774,0,0,0,0
0.979167,0,0,0,0
0.980557,0,0,0,0
0.981945,0,0,0,0
0.983392,0,0,0,0
0.984913,0,0,0,0
0.986467,0,0,0,0
0.988027,0,0,0,0
0.989582,0,0,0,0
0.991186,0,0,0,0
0.992745,0,0,0,0
0.994186,0,0,0,0
0.995716,0,0,0,0
0.997275,0,0,0,0
0.998878,0,0,0,0
1.000435,0,0,0,0
1.001993,0,0,0,0
1.003551,0,0,0,0
1.005123,0,0,0,0
1.006727,0,0,0,0
1.008459,0,0,0,0
1.009939,0,0,0,0
1.011469,0,0,0,0
1.013027,0,0,0,0
1.014583,0,0,0,0
1.016024,0,0,0,0
1.017420,0,0,0,0
1.018946,0,0,0,0
1.020504,0,0,0,0
1.022058,0,0,0,0
1.023617,0,0,0,0
1.025176,0,0,0,0
1.026748,0,0,0,0
1.028307,0,0,0,0
1.029863,0,0,0,0
1.031466,0,0,0,0
1.033024,0,0,0,0
1.034580,0,0,0,0
1.036152,0,0,0,0
1.037710,0,0,0,0
1.039133,0,0,0,0
1.040658,0,0,0,0
1.042213,0,0,0,0
1.043641,0,0,0,0
1.045171,0,0,0,0
1.046777,0,0,0,0
1.048349,0,0,0,0
1.049906,0,0,0,0
1.051465,0,0,0,0
1.053024,0,0,0,0
1.054580,0,0,0,0
1.056169,0,0,0,0
1.057565,0,0,0,0
1.059101,0,0,0,0
1.060659,0,0,0,0
