elapsed_s,TSE_BE_CLIP_PLANES,TSE_BE_EMPTY_BBOX_KILLED_PRIM,TSE_BE_ST1_VP_PARAMS_CACHE_MISS,TSE_BE_ST2_VPORT_VP_PARAMS_CACHE_MISS
1.086161,0,0,0,0
1.087717,0,0,0,0
1.089271,0,0,0,0
1.090875,0,0,0,0
1.093890,0,0,0,0
1.097745,0,0,0,0
1.099286,0,0,0,0
1.100692,0,0,0,0
1.102039,0,0,0,0
1.103398,0,0,0,0
1.104740,0,0,0,0
1.106098,0,0,0,0
1.107508,0,0,0,0
1.109032,0,0,0,0
1.110587,0,0,0,0
1.112144,0,0,0,0
1.113757,0,0,0,0
1.115312,0,0,0,0
1.116866,0,0,0,0
1.118421,0,0,0,0
1.119977,0,0,0,0
1.121532,0,0,0,0
1.123221,0,0,0,0
1.124788,0,0,0,0
1.126345,0,0,0,0
1.127900,0,0,0,0
1.129453,0,0,0,0
1.131059,0,0,0,0
1.132613,0,0,0,0
1.134169,0,0,0,0
1.135613,0,0,0,0
1.137139,0,0,0,0
1.138695,0,0,0,0
1.140248,0,0,0,0
1.141681,0,0,0,0
1.143215,0,0,0,0
1.144770,0,0,0,0
1.146213,0,0,0,0
1.147741,0,0,0,0
1.149296,0,0,0,0
1.150857,0,0,0,0
1.152412,0,0,0,0
1.154015,0,0,0,0
1.155573,0,0,0,0
1.157141,0,0,0,0
1.158698,0,0,0,0
1.160256,0,0,0,0
1.161858,0,0,0,0
1.163415,0,0,0,0
1.164969,0,0,0,0
1.166527,0,0,0,0
1.168097,0,0,0,0
1.169699,0,0,0,0
1.171256,0,0,0,0
1.172811,0,0,0,0
1.174369,0,0,0,0
1.175927,0,0,0,0
1.177482,0,0,0,0
1.179105,0,0,0,0
1.180661,0,0,0,0
1.182219,0,0,0,0
1.183777,0,0,0,0
1.185332,0,0,0,0
1.186939,0,0,0,0
1.188493,0,0,0,0
1.190065,0,0,0,0
1.191622,0,0,0,0
1.193177,0,0,0,0
1.194604,0,0,0,0
1.196131,0,0,0,0
1.197690,0,0,0,0
1.199247,0,0,0,0
1.200814,0,0,0,0
1.202416,0,0,0,0
1.203974,0,0,0,0
1.205529,0,0,0,0
1.207117,0,0,0,0
1.208673,0,0,0,0
1.210178,0,0,0,0
1.211670,0,0,0,0
1.213235,0,0,0,0
1.214737,0,0,0,0
1.216125,0,0,0,0
1.217512,0,0,0,0
1.219144,0,0,0,0
1.220712,0,0,0,0
1.222954,0,0,0,0
1.224352,0,0,0,0
1.225743,0,0,0,0
1.227132,0,0,0,0
1.228519,0,0,0,0
1.229909,0,0,0,0
1.231297,0,0,0,0
1.232813,0,0,0,0
1.234385,0,0,0,0
1.235941,0,0,0,0
1.237495,0,0,0,0
1.239055,0,0,0,0
1.240608,0,0,0,0
1.242208,0,0,0,0
1.243640,0,0,0,0
1.245050,0,0,0,0
1.246442,0,0,0,0
1.247833,0,0,0,0
1.249221,0,0,0,0
1.250610,0,0,0,0
1.251997,0,0,0,0
1.253389,0,0,0,0
1.254784,0,0,0,0
1.256182,0,0,0,0
1.257609,0,0,0,0
1.258997,0,0,0,0
1.260412,0,0,0,0
1.261801,0,0,0,0
1.263320,0,0,0,0
1.265184,0,0,0,0
1.266622,0,0,0,0
1.268148,0,0,0,0
1.269712,0,0,0,0
1.271268,0,0,0,0
1.272822,0,0,0,0
1.274425,0,0,0,0
1.275982,0,0,0,0
1.277616,0,0,0,0
1.279237,0,0,0,0
1.280791,0,0,0,0
1.282392,0,0,0,0
1.283948,0,0,0,0
1.285503,0,0,0,0
1.286921,0,0,0,0
1.288325,0,0,0,0
1.289894,0,0,0,0
1.291325,0,0,0,0
1.292855,0,0,0,0
1.294412,0,0,0,0
1.295968,0,0,0,0
1.297523,0,0,0,0
1.298969,0,0,0,0
1.300363,0,0,0,0
1.301886,0,0,0,0
1.303442,0,0,0,0
1.304995,0,0,0,0
1.306552,0,0,0,0
1.308109,0,0,0,0
1.309611,0,0,0,0
1.311092,0,0,0,0
1.312642,0,0,0,0
1.314239,0,0,0,0
1.316721,0,0,0,0
1.318126,0,0,0,0
1.319524,0,0,0,0
1.320922,0,0,0,0
1.322349,0,0,0,0
1.323737,0,0,0,0
1.325123,0,0,0,0
1.326620,0,0,0,0
1.328172,0,0,0,0
1.329770,0,0,0,0
1.331336,0,0,0,0
1.332887,0,0,0,0
1.334440,0,0,0,0
1.335992,0,0,0,0
1.337542,0,0,0,0
1.339102,0,0,0,0
1.340489,0,0,0,0
1.341886,0,0,0,0
1.343408,0,0,0,0
1.344958,0,0,0,0
1.346512,0,0,0,0
1.348065,0,0,0,0
1.349618,0,0,0,0
1.351170,0,0,0,0
1.352607,0,0,0,0
1.354174,0,0,0,0
1.355727,0,0,0,0
1.357278,0,0,0,0
1.358834,0,0,0,0
1.360385,0,0,0,0
1.361983,0,0,0,0
1.363549,0,0,0,0
1.365101,0,0,0,0
1.366654,0,0,0,0
1.368205,0,0,0,0
1.369802,0,0,0,0
