elapsed_s,PC_US_STALL_CYCLES_COMPUTE_GFX,PC_US_STALL_CYCLES_GFX_COMPUTE,PC_US_PREDRAW_STALLS,PC_US_DP0_INPUT_STALLS,PC_US_DP1_INPUT_STALLS,PC_US_BR_STALLS_BV_WORKLOAD,PC_US_BV_STALLS_BR_WORKLOAD,PC_US_PASSPAIR_STALL
0.573158,0,0,0,0,0,0,0,0
0.574604,0,0,0,0,0,0,0,0
0.576149,0,0,0,0,0,0,0,0
0.577721,0,0,0,0,0,0,0,0
0.579349,0,0,0,0,0,0,0,0
0.580920,0,0,0,0,0,0,0,0
0.582538,0,0,0,0,0,0,0,0
0.584125,0,0,0,0,0,0,0,0
0.585696,0,0,0,0,0,0,0,0
0.587274,0,0,0,0,0,0,0,0
0.588844,0,0,0,0,0,0,0,0
0.590418,0,0,0,0,0,0,0,0
0.591991,0,0,0,0,0,0,0,0
0.593564,0,0,0,0,0,0,0,0
0.595099,0,0,0,0,0,0,0,0
0.596640,0,0,0,0,0,0,0,0
0.598214,0,0,0,0,0,0,0,0
0.599831,0,0,0,0,0,0,0,0
0.601401,0,0,0,0,0,0,0,0
0.602974,0,0,0,0,0,0,0,0
0.604547,0,0,0,0,0,0,0,0
0.606134,0,0,0,0,0,0,0,0
0.607707,0,0,0,0,0,0,0,0
0.609278,0,0,0,0,0,0,0,0
0.610933,0,0,0,0,0,0,0,0
0.612462,0,0,0,0,0,0,0,0
0.614009,0,0,0,0,0,0,0,0
0.615618,0,0,0,0,0,0,0,0
0.617194,0,0,0,0,0,0,0,0
0.618635,0,0,0,0,0,0,0,0
0.620178,0,0,0,0,0,0,0,0
0.621750,0,0,0,0,0,0,0,0
0.623329,0,0,0,0,0,0,0,0
0.624901,0,0,0,0,0,0,0,0
0.626476,0,0,0,0,0,0,0,0
0.628064,0,0,0,0,0,0,0,0
0.629636,0,0,0,0,0,0,0,0
0.631214,0,0,0,0,0,0,0,0
0.632787,0,0,0,0,0,0,0,0
0.634362,0,0,0,0,0,0,0,0
0.635936,0,0,0,0,0,0,0,0
0.637509,0,0,0,0,0,0,0,0
0.639032,0,0,0,0,0,0,0,0
0.640576,0,0,0,0,0,0,0,0
0.642151,0,0,0,0,0,0,0,0
0.643724,0,0,0,0,0,0,0,0
0.645296,0,0,0,0,0,0,0,0
0.646913,0,0,0,0,0,0,0,0
0.648489,0,0,0,0,0,0,0,0
0.650078,0,0,0,0,0,0,0,0
0.651652,0,0,0,0,0,0,0,0
0.653224,0,0,0,0,0,0,0,0
0.654798,0,0,0,0,0,0,0,0
0.656372,0,0,0,0,0,0,0,0
0.657947,0,0,0,0,0,0,0,0
0.659522,0,0,0,0,0,0,0,0
0.661106,0,0,0,0,0,0,0,0
0.662726,0,0,0,0,0,0,0,0
