elapsed_s,RBBM_NEVER_COUNT,RBBM_US_ALWAYS_COUNT,RBBM_US_ALWAYS_ON,RBBM_US_STATUS_MASKED
0.867191,0,361392,3768,2350
0.868718,0,374089,3903,2491
0.870278,0,369596,3855,2347
0.871831,0,370643,3866,2356
0.873421,0,372490,3886,2416
0.874977,0,370169,3862,2350
0.876534,0,370604,3867,2352
0.878136,0,369107,3851,2352
0.879691,0,370489,3864,2343
0.881292,0,370125,3861,2351
0.882848,0,369722,3858,2345
0.884400,0,368468,3845,2506
0.885955,0,370754,3869,2340
0.887510,0,369540,3855,2466
0.889080,0,370139,3861,2356
0.890635,0,369212,3851,2357
0.892188,0,368960,3849,2353
0.893745,0,369984,3859,2345
0.895300,0,369122,3851,2469
0.896853,0,416355,4354,2348
0.898452,0,364185,3799,2348
0.900009,0,364634,3802,2344
0.901427,0,359100,3745,2341
0.902825,0,361650,3770,2397
0.904349,0,369592,3856,2351
0.905904,0,369461,3854,2346
0.907459,0,369342,3854,2346
0.909016,0,370920,3870,2349
0.910583,0,368464,3844,2344
0.912135,0,369094,3851,2351
0.913732,0,369337,3853,2345
0.915286,0,370091,3861,2357
0.916838,0,373201,3894,2419
0.918397,0,368489,3843,2432
0.919949,0,368403,3843,2355
0.921384,0,358497,3739,2506
0.922912,0,370755,3867,2502
0.924467,0,368786,3847,2502
0.926024,0,366177,3818,2517
0.927580,0,370785,3869,2507
0.929184,0,371361,3874,2512
0.930741,0,369082,3849,2505
0.932309,0,371090,3871,2503
0.933867,0,369788,3858,2604
0.935424,0,370498,3865,2500
0.937056,0,318759,3313,2509
0.938423,0,359936,3752,2508
0.939947,0,368070,3839,2505
0.941505,0,370777,3870,2605
0.943082,0,368858,3848,2506
0.944636,0,369066,3850,2526
0.946301,0,368906,3848,2499
0.947858,0,369319,3852,2610
0.949417,0,370397,3864,2514
0.950975,0,369166,3852,2506
0.952530,0,368791,3847,2501
0.954099,0,367381,3832,2501
0.955654,0,370412,3865,2508
0.957213,0,369721,3857,2507
0.958769,0,367741,3835,2518
0.960325,0,368661,3845,2540
0.961882,0,370485,3865,2499
0.963440,0,369454,3854,2513
0.965012,0,370446,3865,2508
0.966569,0,369162,3851,2510
0.968123,0,368555,3844,2498
0.969681,0,371558,3876,2511
0.971239,0,369280,3852,2508
0.972794,0,372523,3887,2514
0.974355,0,369621,3856,2641
0.975793,0,358708,3740,2548
0.977368,0,369868,3858,2549
0.978927,0,367990,3838,2549
0.980481,0,369538,3855,2563
0.982038,0,365450,3810,2561
0.983595,0,370600,3865,2556
0.985154,0,368518,3843,2557
0.986595,0,372407,3887,2560
0.989622,0,792978,8371,2649
0.991477,0,369750,3858,2544
0.992848,0,496867,5215,2750
0.994383,0,410852,4295,2558
0.995831,0,360039,3754,2570
0.997252,0,355802,3709,2560
0.998638,0,358348,3734,2548
1.000053,0,415309,4343,2553
1.001707,0,360908,3763,2568
1.003181,0,358593,3737,2680
1.004568,0,355564,3707,2561
1.005952,0,354810,3697,2560
1.007341,0,357246,3726,2712
1.008721,0,437133,4575,2644
1.010828,0,430681,4507,2572
1.012434,0,404631,4229,2558
1.014536,0,390021,4073,2611
1.015998,0,476215,4993,2595
1.017890,0,328055,3419,2581
1.019474,0,449601,4708,2595
1.021498,0,378162,3941,2562
1.024080,0,424635,4441,2569
1.026298,0,395423,4128,2713
1.028322,0,382143,3983,2730
1.030157,0,323117,3360,2558
1.031482,0,320399,3329,2553
1.032802,0,323565,3364,2570
1.034120,0,320603,3333,2558
1.035434,0,320112,3328,2552
1.036749,0,341534,3560,2559
1.038118,0,323458,3358,2546
1.039433,0,320733,3334,2557
1.040748,0,350893,3662,2561
1.042118,0,345418,3597,2562
1.043479,0,344473,3589,2552
1.044838,0,441749,4633,2555
1.046299,0,355660,3700,2553
1.047632,0,346496,3609,2550
1.048963,0,347061,3615,2552
1.050281,0,346673,3612,2557
1.051597,0,346541,3608,2560
1.052914,0,346210,3606,2560
1.054230,0,345944,3604,2560
1.055546,0,346434,3610,2556
1.056862,0,368166,3842,2560
1.058262,0,359947,3753,2554
1.059661,0,360448,3758,2597
1.061052,0,358878,3741,2551
1.062440,0,353722,3687,2562
1.063828,0,359098,3742,2547
1.065219,0,359619,3749,2554
1.066607,0,360192,3754,2729
1.067996,0,358383,3737,2553
1.069538,0,377881,3944,2555
1.070990,0,361778,3772,2557
1.072387,0,361330,3767,2550
1.073828,0,359989,3753,2557
1.075219,0,359205,3744,2564
1.076609,0,360740,3761,2557
1.078001,0,359734,3751,2557
1.079390,0,355860,3707,2603
1.080909,0,375861,3921,2717
1.082358,0,361102,3765,2551
1.083755,0,361529,3769,2591
1.085151,0,360260,3757,2556
1.086543,0,360751,3762,2552
1.087933,0,361297,3767,2554
1.089370,0,361353,3768,2638
1.090760,0,360107,3754,2551
1.092280,0,369585,3855,2647
1.093725,0,357724,3728,2556
1.095245,0,364369,3800,2554
1.096791,0,354877,3699,2554
1.098223,0,374128,3903,2599
1.099619,0,359187,3746,2558
1.101011,0,359778,3751,2559
1.102543,0,366255,3820,2552
1.103950,0,360391,3757,2556
1.105387,0,356583,3715,2558
1.106772,0,356122,3712,2554
