elapsed_s,CP_S_SKEW_BUFFER_ABOVE_THRESH,CP_ECACHE_HITS,CP_ECACHE_KILLS,CP_ECACHE_REQS,CP_ECACHE_EVEN_REQS,CP_ECACHE_STALLS_RAP,CP_ECACHE_BUSY
0.301722,0,0,0,0,0,0,0
0.303088,0,0,0,0,0,0,0
0.304446,0,0,0,0,0,0,0
0.305799,0,0,0,0,0,0,0
0.307152,0,0,0,0,0,0,0
0.308504,0,0,0,0,0,0,0
0.309856,0,0,0,0,0,0,0
0.311199,0,0,0,0,0,0,0
0.312620,0,0,0,0,0,0,0
0.314041,0,0,0,0,0,0,0
0.315468,0,0,0,0,0,0,0
0.316890,0,0,0,0,0,0,0
0.318310,0,0,0,0,0,0,0
0.319656,0,0,0,0,0,0,0
0.321055,0,0,0,0,0,0,0
0.322518,0,0,0,0,0,0,0
0.324016,0,0,0,0,0,0,0
0.325418,0,0,0,0,0,0,0
0.326829,0,0,0,0,0,0,0
0.328256,0,0,0,0,0,0,0
0.329664,0,0,0,0,0,0,0
0.332662,0,0,0,0,0,0,0
0.334946,0,0,0,0,0,0,0
0.336350,0,0,0,0,0,0,0
0.337786,0,0,0,0,0,0,0
0.339254,0,0,0,0,0,0,0
0.340630,0,0,0,0,0,0,0
0.341994,0,0,0,0,0,0,0
0.343377,0,0,0,0,0,0,0
0.344783,0,0,0,0,0,0,0
0.346182,0,0,0,0,0,0,0
0.347677,0,0,0,0,0,0,0
0.349072,0,0,0,0,0,0,0
0.350517,0,0,0,0,0,0,0
0.351933,0,0,0,0,0,0,0
0.353333,0,0,0,0,0,0,0
0.354822,0,0,0,0,0,0,0
0.356223,0,0,0,0,0,0,0
0.357622,0,0,0,0,0,0,0
0.359034,0,0,0,0,0,0,0
0.360436,0,0,0,0,0,0,0
0.361835,0,0,0,0,0,0,0
0.363228,0,0,0,0,0,0,0
0.364658,0,0,0,0,0,0,0
0.366054,0,0,0,0,0,0,0
0.369035,0,0,0,0,0,0,0
0.370440,0,0,0,0,0,0,0
0.372005,0,0,0,0,0,0,0
0.373405,0,0,0,0,0,0,0
0.374975,0,0,0,0,0,0,0
0.376385,0,0,0,0,0,0,0
0.377746,0,0,0,0,0,0,0
0.379104,0,0,0,0,0,0,0
0.380522,0,0,0,0,0,0,0
0.381901,0,0,0,0,0,0,0
0.383285,0,0,0,0,0,0,0
0.384687,0,0,0,0,0,0,0
0.386082,0,0,0,0,0,0,0
0.387609,0,0,0,0,0,0,0
0.389005,0,0,0,0,0,0,0
0.390570,0,0,0,0,0,0,0
0.392041,0,0,0,0,0,0,0
0.393448,0,0,0,0,0,0,0
0.394983,0,0,0,0,0,0,0
0.396548,0,0,0,0,0,0,0
0.398113,0,0,0,0,0,0,0
0.400051,0,0,0,0,0,0,0
0.401457,0,0,0,0,0,0,0
0.402983,0,0,0,0,0,0,0
0.404394,0,0,0,0,0,0,0
0.405798,0,0,0,0,0,0,0
0.407239,0,0,0,0,0,0,0
0.408638,0,0,0,0,0,0,0
0.410034,0,0,0,0,0,0,0
0.411432,0,0,0,0,0,0,0
0.412962,0,0,0,0,0,0,0
0.414584,0,0,0,0,0,0,0
0.416156,0,0,0,0,0,0,0
0.417721,0,0,0,0,0,0,0
0.419289,0,0,0,0,0,0,0
0.420856,0,0,0,0,0,0,0
0.422422,0,0,0,0,0,0,0
0.424080,0,0,0,0,0,0,0
0.425660,0,0,0,0,0,0,0
0.427228,0,0,0,0,0,0,0
0.428795,0,0,0,0,0,0,0
